space,seed,gap,within,between,max_persistence_real,real_vs_shuffle_effect,real_vs_random_effect,bootstrap_gap_obs,bootstrap_gap_ci,takens_dim,n_points_before_mean,n_points_before_std,n_points_before_min,n_points_before_max,n_points_after_mean,subsample_method
muq,42,3.4339266131850987,14.222782078971504,17.656708692156602,0.3340792155265808,1.0,,3.4339266131850987,"[2.9796, 7.1186]",512,184.02,0.13999999999999999,184,185,184.02,none
mert,42,0.7646903025551524,14.642997697722315,15.407688000277467,0.46113529562950134,1.0,,0.7646903025551524,"[1.3207, 3.3592]",512,184.02,0.13999999999999999,184,185,184.02,none
muq,123,2.6637209606898384,12.701807024356526,15.365527985046365,0.323040988445282,1.0,,2.6637209606898384,"[2.6483, 5.3271]",512,184.12,0.5344155686354956,184,188,184.12,none
mert,123,1.2422677000232394,15.42441775722675,16.66668545724999,0.46196038484573365,1.0,,1.2422677000232394,"[1.6764, 4.1735]",512,184.12,0.5344155686354956,184,188,184.12,none
muq,999,3.1500773362582013,12.295480051064944,15.445557387323145,0.3345511782169342,1.0,,3.1500773362582013,"[3.1013, 5.8003]",512,184.07,0.49507575177946256,184,188,184.07,none
mert,999,1.6828859612096991,14.356094888885814,16.038980850095513,0.4701115596294403,1.0,,1.6828859612096991,"[1.8131, 4.6960]",512,184.06,0.44317039612320674,184,188,184.06,none
muq,2026,2.206446583441174,14.681672190816219,16.888118774257393,0.3371796298027039,1.0,,2.206446583441174,"[2.3410, 5.2696]",512,184.13,0.5942221806698232,184,188,184.13,none
mert,2026,1.8985278589471974,14.935052819323868,16.833580678271066,0.4760427975654602,1.0,,1.8985278589471974,"[2.1094, 4.8320]",512,184.13,0.5942221806698232,184,188,184.13,none
muq,7,2.5709348970216137,13.776132256126447,16.34706715314806,0.3284075045585632,1.0,,2.5709348970216137,"[2.4725, 5.5613]",512,184.12,0.5344155686354956,184,188,184.12,none
mert,7,1.3848224590044573,14.81679638003563,16.201618839040087,0.47053444862365723,1.0,,1.3848224590044573,"[1.7431, 4.3840]",512,184.12,0.5344155686354956,184,188,184.12,none
