space,timescale_sec,window,stride,variant,gap,within,between,max_persistence_real,real_vs_shuffle_effect,real_vs_random_effect,bootstrap_gap_obs,bootstrap_gap_ci,takens_dim,n_points_before_mean,n_points_before_std,n_points_before_min,n_points_before_max,n_points_after_mean,subsample_method
muq,0.32,8,2,standard,5.937351113658835,19.957073862412948,25.894424976071782,0.2792647534608841,1.0,,5.937351113658835,"[5.2658, 11.2712]",256,372.03,0.2215851980616034,372,374,372.03,none
muq,0.32,8,2,fixed_takens_dim,7.763028317386944,26.873365866753755,34.6363941841407,0.3251182579994202,1.0,,7.763028317386944,"[6.8801, 14.4970]",512,372.03,0.2215851980616034,372,374,372.03,none
mert,0.32,8,2,standard,1.2958914871466014,21.32056150121043,22.616452988357032,0.38512874245643614,1.0,,1.2958914871466014,"[2.0203, 5.1731]",256,372.03,0.2215851980616034,372,374,372.03,none
mert,0.32,8,2,fixed_takens_dim,1.8522004909409269,25.417253401913282,27.26945389285421,0.4232073104381561,1.0,,1.8522004909409269,"[2.6724, 6.4475]",512,372.03,0.2215851980616034,372,374,372.03,none
muq,0.64,16,4,standard,3.4339266131850987,14.222782078971504,17.656708692156602,0.3340792155265808,1.0,,3.4339266131850987,"[2.9796, 7.1186]",512,184.02,0.13999999999999999,184,185,184.02,none
muq,0.64,16,4,fixed_takens_dim,3.4339266131850987,14.222782078971504,17.656708692156602,0.3340792155265808,1.0,,3.4339266131850987,"[2.9796, 7.1186]",512,184.02,0.13999999999999999,184,185,184.02,none
mert,0.64,16,4,standard,0.7646903025551524,14.642997697722315,15.407688000277467,0.46113529562950134,1.0,,0.7646903025551524,"[1.3207, 3.3592]",512,184.02,0.13999999999999999,184,185,184.02,none
mert,0.64,16,4,fixed_takens_dim,0.7646903025551524,14.642997697722315,15.407688000277467,0.46113529562950134,1.0,,0.7646903025551524,"[1.3207, 3.3592]",512,184.02,0.13999999999999999,184,185,184.02,none
muq,1.28,32,8,standard,1.6018777750740316,9.124190285509659,10.72606806058369,0.38368342876434325,1.0,,1.6018777750740316,"[1.5888, 3.6566]",1024,90.02,0.13999999999999999,90,91,90.02,none
muq,1.28,32,8,fixed_takens_dim,1.0396605954988392,5.99784038022499,7.037500975723829,0.3552966952323914,1.0,,1.0396605954988392,"[1.0190, 2.2927]",512,90.02,0.13999999999999999,90,91,90.02,none
mert,1.28,32,8,standard,0.3689042130859299,9.911442893018673,10.280347106104603,0.5543101167678833,1.0,,0.3689042130859299,"[0.7661, 2.0322]",1024,90.02,0.13999999999999999,90,91,90.02,none
mert,1.28,32,8,fixed_takens_dim,0.3397955860286679,8.401349913557619,8.741145499586287,0.5539213514328003,1.0,,0.3397955860286679,"[0.6789, 1.7963]",512,90.02,0.13999999999999999,90,91,90.02,none
muq,2.56,64,16,standard,0.685326142524799,5.065439316648087,5.750765459172886,0.4238804841041565,1.0,,0.685326142524799,"[0.7749, 1.6682]",2048,43.02,0.14000000000000004,43,44,43.02,none
muq,2.56,64,16,fixed_takens_dim,0.27697480022289733,2.3256722717339255,2.602647071956823,0.4149487793445587,1.0,,0.27697480022289733,"[0.3500, 0.6936]",512,43.02,0.14000000000000004,43,44,43.02,none
mert,2.56,64,16,standard,0.12054906168242852,6.538282069646393,6.658831131328822,0.6580074167251587,1.0,,0.12054906168242852,"[0.4076, 1.2098]",2048,43.02,0.14000000000000004,43,44,43.02,none
mert,2.56,64,16,fixed_takens_dim,0.07668344335137967,4.649136151340754,4.725819594692133,0.6387122774124145,1.0,,0.07668344335137967,"[0.2914, 0.8550]",512,43.02,0.14000000000000004,43,44,43.02,none
