Space,Features,classifier,Accuracy,Acc_CI,Macro_F1,F1_CI
muq,persistence,logreg,0.2598,"[0.210, 0.310]",0.2167,"[0.176, 0.258]"
muq,persistence,hgb,0.228,"[0.180, 0.273]",0.2193,"[0.175, 0.258]"
muq,mean_pool,logreg,0.721,"[0.673, 0.767]",0.6703,"[0.629, 0.707]"
muq,mean_pool,hgb,0.8231,"[0.780, 0.863]",0.8179,"[0.775, 0.859]"
muq,persistence@shuffle,logreg,0.2341,"[0.183, 0.280]",0.141,"[0.110, 0.173]"
muq,persistence@shuffle,hgb,0.1837,"[0.140, 0.227]",0.1674,"[0.132, 0.205]"
muq,persistence@random,logreg,0.2676,"[0.217, 0.323]",0.214,"[0.180, 0.250]"
muq,persistence@random,hgb,0.2497,"[0.203, 0.300]",0.2378,"[0.195, 0.283]"
muq,persistence@iaaft,logreg,0.2069,"[0.163, 0.250]",0.1716,"[0.136, 0.206]"
muq,persistence@iaaft,hgb,0.2304,"[0.187, 0.273]",0.2226,"[0.180, 0.269]"
muq,concat(pers+mean),logreg,0.5433,"[0.487, 0.600]",0.5118,"[0.461, 0.564]"
muq,concat(pers+mean),hgb,0.8304,"[0.787, 0.867]",0.8252,"[0.784, 0.865]"
mert,persistence,logreg,0.21,"[0.163, 0.253]",0.1822,"[0.143, 0.219]"
mert,persistence,hgb,0.2002,"[0.157, 0.247]",0.193,"[0.152, 0.238]"
mert,mean_pool,logreg,0.5794,"[0.520, 0.637]",0.5269,"[0.477, 0.581]"
mert,mean_pool,hgb,0.751,"[0.703, 0.803]",0.7466,"[0.698, 0.798]"
mert,persistence@shuffle,logreg,0.1443,"[0.107, 0.187]",0.1042,"[0.077, 0.136]"
mert,persistence@shuffle,hgb,0.1693,"[0.127, 0.213]",0.1598,"[0.122, 0.202]"
mert,persistence@random,logreg,0.1935,"[0.150, 0.240]",0.1519,"[0.118, 0.190]"
mert,persistence@random,hgb,0.1996,"[0.157, 0.243]",0.1964,"[0.156, 0.238]"
mert,persistence@iaaft,logreg,0.1722,"[0.130, 0.213]",0.1434,"[0.110, 0.178]"
mert,persistence@iaaft,hgb,0.2061,"[0.160, 0.250]",0.2008,"[0.160, 0.243]"
mert,concat(pers+mean),logreg,0.4331,"[0.373, 0.490]",0.3931,"[0.342, 0.441]"
mert,concat(pers+mean),hgb,0.7613,"[0.710, 0.810]",0.7562,"[0.707, 0.808]"
encodec,persistence,logreg,0.23,"[0.187, 0.277]",0.1931,"[0.157, 0.232]"
encodec,persistence,hgb,0.2285,"[0.180, 0.277]",0.2294,"[0.184, 0.275]"
encodec,mean_pool,logreg,0.4247,"[0.373, 0.477]",0.3753,"[0.330, 0.425]"
encodec,mean_pool,hgb,0.5964,"[0.543, 0.650]",0.5805,"[0.531, 0.632]"
encodec,persistence@shuffle,logreg,0.2398,"[0.193, 0.287]",0.1826,"[0.147, 0.220]"
encodec,persistence@shuffle,hgb,0.2228,"[0.180, 0.270]",0.2064,"[0.167, 0.248]"
encodec,persistence@random,logreg,0.2305,"[0.183, 0.277]",0.1697,"[0.137, 0.202]"
encodec,persistence@random,hgb,0.215,"[0.173, 0.263]",0.2076,"[0.166, 0.252]"
encodec,persistence@iaaft,logreg,0.21,"[0.163, 0.257]",0.1508,"[0.119, 0.184]"
encodec,persistence@iaaft,hgb,0.2155,"[0.170, 0.263]",0.2096,"[0.166, 0.249]"
encodec,concat(pers+mean),logreg,0.436,"[0.380, 0.487]",0.4022,"[0.349, 0.452]"
encodec,concat(pers+mean),hgb,0.5895,"[0.537, 0.640]",0.5721,"[0.519, 0.625]"
mir,persistence,logreg,0.1635,"[0.123, 0.203]",0.1328,"[0.101, 0.165]"
mir,persistence,hgb,0.219,"[0.173, 0.267]",0.2142,"[0.172, 0.261]"
mir,mean_pool,logreg,0.3762,"[0.323, 0.430]",0.3406,"[0.289, 0.389]"
mir,mean_pool,hgb,0.4961,"[0.440, 0.550]",0.4903,"[0.439, 0.546]"
mir,persistence@shuffle,logreg,0.1525,"[0.113, 0.193]",0.1129,"[0.084, 0.146]"
mir,persistence@shuffle,hgb,0.0926,"[0.060, 0.127]",0.09,"[0.060, 0.124]"
mir,persistence@random,logreg,0.2731,"[0.227, 0.323]",0.241,"[0.200, 0.283]"
mir,persistence@random,hgb,0.2496,"[0.200, 0.300]",0.2505,"[0.204, 0.299]"
mir,persistence@iaaft,logreg,0.2095,"[0.167, 0.253]",0.1831,"[0.145, 0.223]"
mir,persistence@iaaft,hgb,0.1797,"[0.137, 0.223]",0.1794,"[0.138, 0.224]"
mir,concat(pers+mean),logreg,0.3827,"[0.330, 0.437]",0.3655,"[0.315, 0.418]"
mir,concat(pers+mean),hgb,0.514,"[0.463, 0.570]",0.5082,"[0.455, 0.560]"
