track,genre,persistence,diagram_match,n_ripser_co,span_ripser_co,p_ripser_co,n_dio_co,span_dio_co,p_dio_co,n_dio_cy,span_dio_cy,p_dio_cy,p_fdr_ripser_co,p_fdr_dio_co,p_fdr_dio_cy,sig_ripser_co,sig_dio_co,sig_dio_cy,prev_n_verts,prev_span,prev_p
pop_01_BIRDS_OF_A_FEATHER_Billie_Eilish,pop,0.5439460277557373,True,177,89.12,1.0,176,89.12,1.0,24,68.8,1.0,1.0,1.0,1.0,False,False,False,55,86.08,6.177050541703713e-109
pop_02_Die_With_A_Smile_Lady_Gaga,pop,0.3825737237930298,True,46,20.0,1.0,46,20.0,1.0,12,10.240000000000009,1.0,1.0,1.0,1.0,False,False,False,30,72.47999999999999,0.49632725363682234
pop_03_WILDFLOWER_Billie_Eilish,pop,0.32656657695770264,True,371,89.12,1.0,372,89.12,1.0,39,80.96000000000001,1.0,1.0,1.0,1.0,False,False,False,4,22.72,0.11158818800017095
pop_04_Good_Luck__Babe__Chappell_Roan,pop,0.37817347049713135,True,22,80.32000000000001,0.5422288855572214,22,80.32000000000001,0.5422288855572214,28,81.44000000000001,0.1584207896051974,0.8847700795494603,0.8847700795494603,0.3330305650094661,False,False,False,100,87.04,0.9999999663764568
pop_05_One_Of_The_Girls__with_JENNIE__Lily_Rose_Depp__The_Weeknd,pop,0.46314334869384766,True,87,89.11999999999999,0.0004997501249375312,87,89.11999999999999,0.0004997501249375312,47,84.0,0.1054472763618191,0.0021429767286120878,0.0021429767286120878,0.23912453222207794,True,True,False,42,88.48,0.5106285262274171
pop_06_No_One_Noticed_The_Marías,pop,0.4227879047393799,True,462,89.28,0.0004997501249375312,462,89.28,0.0004997501249375312,62,88.0,0.14342828585707146,0.0021429767286120878,0.0021429767286120878,0.3105815513295983,True,True,False,13,34.88,0.9866144850907342
pop_07_Beautiful_Things_Benson_Boone,pop,0.33969640731811523,True,19,86.39999999999999,1.0,20,86.39999999999999,0.9985007496251874,17,84.64,0.487256371814093,1.0,1.0,0.8050072385010933,False,False,False,44,88.64,2.240047313734077e-40
pop_08_Iris_The_Goo_Goo_Dolls,pop,0.3310546875,True,124,33.44,0.0004997501249375312,124,33.44,0.0004997501249375312,39,33.12,0.0004997501249375312,0.0021429767286120878,0.0021429767286120878,0.0021429767286120878,True,True,True,3,48.48,0.01999744686168161
pop_09_Sailor_Song_Gigi_Perez,pop,0.3429151773452759,True,274,89.28,0.0004997501249375312,273,89.28,0.0004997501249375312,96,83.36,0.27136431784107945,0.0021429767286120878,0.0021429767286120878,0.49463875657108153,True,True,False,2,10.080000000000005,nan
pop_10_Sweater_Weather_The_Neighbourhood,pop,0.37104249000549316,True,27,77.44,0.3663168415792104,27,77.44,0.3663168415792104,55,69.92,0.0004997501249375312,0.6317320381725305,0.6317320381725305,0.0021429767286120878,False,False,True,123,73.44000000000001,3.533498627334529e-143
pop_11_Yellow_Coldplay,pop,0.735625147819519,True,182,85.76,1.0,183,85.76,1.0,36,19.68,0.0074962518740629685,1.0,1.0,0.023988005997001502,False,False,True,73,89.11999999999999,0.10242603384047883
pop_12_party_4_u_Charli_xcx,pop,0.8446533679962158,True,108,22.72,0.0004997501249375312,108,22.72,0.0004997501249375312,72,21.439999999999998,0.0004997501249375312,0.0021429767286120878,0.0021429767286120878,0.0021429767286120878,True,True,True,8,2.8799999999999955,nan
pop_13_Taste_Sabrina_Carpenter,pop,0.5769926309585571,True,24,26.56000000000001,0.9975012493753124,24,26.56000000000001,0.9975012493753124,11,1.5999999999999943,nan,1.0,1.0,nan,False,False,False,115,83.36,0.003910843272159613
pop_14_Stargazing_Myles_Smith,pop,0.4000157117843628,True,74,87.52,0.17491254372813594,73,87.52,0.13243378310844578,85,88.0,0.9025487256371814,0.3547522013641067,0.29004509152267977,1.0,False,False,False,140,87.2,0.8020010944875988
pop_15_Apocalypse_Cigarettes_After_Sex,pop,0.406589150428772,True,28,83.52,0.010994502748625687,28,83.52,0.010994502748625687,19,83.52,0.001999000499750125,0.033685285017065934,0.033685285017065934,0.007428543792619819,True,True,True,102,88.64,0.8758342402610798
pop_16_CHIHIRO_Billie_Eilish,pop,0.6526616811752319,True,215,86.56,0.0004997501249375312,215,86.56,0.0004997501249375312,58,30.560000000000002,0.0004997501249375312,0.0021429767286120878,0.0021429767286120878,0.0021429767286120878,True,True,True,213,88.64,1.961004156722393e-27
pop_17_Espresso_Sabrina_Carpenter,pop,0.441381573677063,True,2,4.639999999999999,nan,3,64.64,0.30989452536413864,4,64.64,0.15557778889444723,nan,0.5526292464697952,0.32945884707059414,False,False,False,16,83.04,0.03206192002542867
pop_18_End_of_Beginning_Djo,pop,0.4677612781524658,True,224,89.11999999999999,0.0004997501249375312,225,89.11999999999999,0.0004997501249375312,37,67.04,0.9320339830084957,0.0021429767286120878,0.0021429767286120878,1.0,True,True,False,104,88.32000000000001,0.9999999999958585
pop_19_Cruel_Summer_Taylor_Swift,pop,0.44148194789886475,True,11,7.360000000000001,0.10144927536231885,10,7.360000000000001,0.12643678160919541,9,1.4399999999999995,nan,0.2356241234221599,0.27903289734443126,nan,False,False,False,94,77.28,2.5265450426353584e-45
pop_20_Messy_Lola_Young,pop,0.40824854373931885,True,35,88.96,1.0,34,88.96,1.0,60,88.8,1.0,1.0,1.0,1.0,False,False,False,6,70.72,0.2818189144391071
pop_21_Blinding_Lights_The_Weeknd,pop,0.3902158737182617,True,33,85.76,0.9995002498750625,34,85.76,0.9995002498750625,48,77.44000000000001,0.7131434282858571,1.0,1.0,1.0,False,False,False,33,83.67999999999999,0.029951631425378048
pop_22_Starboy_The_Weeknd,pop,0.5719597339630127,True,322,88.16,1.0,322,88.16,1.0,23,69.6,1.0,1.0,1.0,1.0,False,False,False,107,87.2,1.0
pop_23_Feel_It__From__Invincible___d4vd,pop,0.3715527057647705,True,85,84.8,0.0004997501249375312,84,84.8,0.001999000499750125,60,85.28,0.15792103948025987,0.0021429767286120878,0.007428543792619819,0.3330305650094661,True,True,False,64,81.12,1.0
pop_24_Snooze_SZA,pop,0.38299560546875,True,30,81.44,0.10344827586206896,30,81.44,0.10344827586206896,33,88.47999999999999,0.034482758620689655,0.23665637536962744,0.23665637536962744,0.0932491500728509,False,False,False,14,51.2,5.56478385503224e-07
pop_25_greedy_Tate_McRae,pop,0.35959672927856445,True,282,88.32,0.0074962518740629685,282,88.32,0.0074962518740629685,42,87.36,0.9965017491254373,0.023988005997001502,0.023988005997001502,1.0,True,True,False,8,80.0,0.8852562087975238
pop_26_Viva_La_Vida_Coldplay,pop,0.3584864139556885,True,60,85.44,0.22288855572213892,61,85.44,0.21239380309845077,30,81.92,0.9735132433783108,0.42606511313879486,0.41191525449396516,1.0,False,False,False,3,13.919999999999995,nan
pop_27_Unwritten_Natasha_Bedingfield,pop,0.4080231189727783,True,69,67.68,0.04047976011994003,70,67.68,0.025487256371814093,47,86.4,0.9050474762618691,0.10778172557556837,0.0719640179910045,1.0,False,False,False,10,40.96,0.9994734989003038
pop_28_Locked_out_of_Heaven_Bruno_Mars,pop,0.4158504009246826,True,81,87.83999999999999,0.8510744627686156,81,87.83999999999999,0.8510744627686156,47,85.28,0.15992003998001,1.0,1.0,0.33495979283085736,False,False,False,24,55.519999999999996,2.8211604953157945e-12
pop_29_Something_Just_Like_This_The_Chainsmokers,pop,0.678338885307312,True,69,60.0,0.0004997501249375312,69,60.0,0.0004997501249375312,36,58.56,0.0004997501249375312,0.0021429767286120878,0.0021429767286120878,0.0021429767286120878,True,True,True,100,88.48,0.0
pop_30_As_It_Was_Harry_Styles,pop,0.47857677936553955,True,225,87.03999999999999,1.0,225,87.03999999999999,1.0,52,83.36000000000001,1.0,1.0,1.0,1.0,False,False,False,25,55.68,6.134461572929605e-22
pop_31_Give_Me_Everything__feat__Nayer__Pitbull,pop,0.3942525386810303,True,3,34.39999999999999,0.030135610246107485,2,3.6799999999999926,nan,32,78.55999999999999,0.9895052473763118,0.0830531650801814,nan,1.0,False,False,False,23,85.11999999999999,0.9812087947051937
pop_32_Pink_Pony_Club_Chappell_Roan,pop,0.35037899017333984,True,43,58.88,0.0004997501249375312,44,58.88,0.0004997501249375312,21,42.559999999999995,0.0004997501249375312,0.0021429767286120878,0.0021429767286120878,0.0021429767286120878,True,True,True,23,79.36,0.9999517867272678
pop_33_Slow_It_Down_Benson_Boone,pop,0.39779233932495117,True,129,85.11999999999999,0.8530734632683659,129,85.11999999999999,0.8530734632683659,45,78.4,0.9150424787606197,1.0,1.0,1.0,False,False,False,189,88.96,3.001223955006594e-09
pop_34_Everybody_Wants_To_Rule_The_World_Tears_For_Fears,pop,0.5572996139526367,True,389,89.28,0.035982008995502246,390,89.28,0.04097951024487756,106,32.32000000000001,0.6846576711644178,0.09684877187574435,0.10778172557556837,1.0,False,False,False,3,5.599999999999994,nan
pop_35_One_Dance_Drake,pop,0.5338525772094727,True,55,57.120000000000005,0.0004997501249375312,54,57.120000000000005,0.0004997501249375312,45,16.480000000000004,0.0004997501249375312,0.0021429767286120878,0.0021429767286120878,0.0021429767286120878,True,True,True,155,88.0,0.0
pop_36_Heat_Waves_Glass_Animals,pop,0.42457151412963867,True,11,74.24000000000001,0.8910544727636182,11,74.24000000000001,0.8910544727636182,31,79.03999999999999,1.0,1.0,1.0,1.0,False,False,False,5,86.08,0.042159315791957024
pop_37_Here_With_Me_d4vd,pop,0.28516387939453125,True,3,62.239999999999995,0.0155700652938222,2,13.919999999999995,0.023915461624026697,18,76.32000000000001,0.8855572213893054,0.046710195881466604,0.06785864973122846,1.0,True,False,False,209,88.96,4.119101470010804e-56
pop_38_That_s_What_I_Like_Bruno_Mars,pop,0.34572601318359375,True,2,3.3599999999999994,nan,3,3.3599999999999994,nan,58,82.39999999999999,0.004997501249375313,nan,nan,0.0166390793042785,False,False,True,9,64.48,0.15794168922808416
