space,genre,metric,n,spearman_rho,p_value
MIR,electronic,max_persistence,50,-0.1431507249048103,0.32132143719301753
MIR,electronic,chroma_excess,46,3.094076046624923e-05,0.9998371716543324
MIR,electronic,n_loop_vertices,50,0.0045313492289197135,0.9750851621763101
MIR,hip-hop,max_persistence,50,-0.09111066064557471,0.5291751472776871
MIR,hip-hop,chroma_excess,49,-0.21774742471411407,0.1328434012215034
MIR,hip-hop,n_loop_vertices,50,0.11635210873256971,0.42101432345514234
MIR,pop,max_persistence,48,0.08110489608466487,0.5836894818502787
MIR,pop,chroma_excess,46,0.07155097717926712,0.6365460061562774
MIR,pop,n_loop_vertices,48,-0.01680095504341551,0.9097609494342129
MIR,reggae,max_persistence,50,-0.016262715531477415,0.9107492228879204
MIR,reggae,chroma_excess,49,-0.2850733245409037,0.04709910984319544
MIR,reggae,n_loop_vertices,50,-0.0864592096022737,0.5504969740904716
MuQ,electronic,max_persistence,50,0.22600462931941262,0.11452666184784277
MuQ,electronic,chroma_excess,48,-0.21353415456203206,0.14503933289652027
MuQ,electronic,n_loop_vertices,50,0.03241998674167834,0.8231429772062328
MuQ,hip-hop,max_persistence,50,-0.012981210554499746,0.928705952101024
MuQ,hip-hop,chroma_excess,49,-0.17743290813741389,0.22258899322294032
MuQ,hip-hop,n_loop_vertices,50,-0.1696443542285424,0.238881707003711
MuQ,pop,max_persistence,48,-0.1518466917953645,0.30287711003965107
MuQ,pop,chroma_excess,47,0.16938532917486376,0.2550261918115119
MuQ,pop,n_loop_vertices,48,0.025952636129005217,0.8610050434666159
MuQ,reggae,max_persistence,50,0.09714197734381018,0.5021480158663888
MuQ,reggae,chroma_excess,48,-0.04087820658128062,0.7826537454491341
MuQ,reggae,n_loop_vertices,50,0.2135323210803288,0.1365019233941889
