space,metric,n,spearman_rho,p_value,genre_centered_rho,genre_centered_p,p_fdr,genre_centered_p_fdr
MIR,max_persistence,198,-0.04150205209318377,0.5615516585024682,-0.05319928668150001,0.45665389282692703,0.7147021108213232,0.6888625030090151
MIR,n_loop_vertices,198,0.06682750894175438,0.34956223495568184,0.000621306317756213,0.9930687031062952,0.5512587689276749,0.9930687031062952
MIR,loop_span_sec,198,0.08583592318243119,0.2292118441185952,0.04367235450166548,0.5412491095070833,0.5423957377247367,0.6888625030090151
MIR,distant_loop_sim_mean,191,-0.12487890659847016,0.08520071411451585,-0.09728758758447102,0.1806053355207591,0.5423957377247367,0.6888625030090151
MIR,distant_random_sim_mean,197,-0.08546122705284812,0.2324553161677443,0.01738882727420242,0.8083702949624173,0.5423957377247367,0.9126383993270346
MIR,chroma_excess,190,0.017393204646340817,0.8117378352330592,-0.12032533062180537,0.0982008957254659,0.8117378352330592,0.6888625030090151
MIR,repeat_frac,198,-0.06616365642441807,0.354380637167791,0.04389714396669702,0.539167249777964,0.5512587689276749,0.6888625030090151
MuQ,max_persistence,198,-0.029805533728509605,0.6767967502612011,0.05195822774074699,0.4672386957693029,0.728858038742832,0.6888625030090151
MuQ,n_loop_vertices,198,0.0302854141115575,0.6718921866646713,0.05284669256567594,0.45964743934085317,0.728858038742832,0.6888625030090151
MuQ,loop_span_sec,198,0.04914456752213564,0.491728301460566,0.06697216158776552,0.34851781250342506,0.6884196220447925,0.6888625030090151
MuQ,distant_loop_sim_mean,193,-0.15420393166252494,0.032259780976883874,-0.044376874301103014,0.5400083345612446,0.45163693367637425,0.6888625030090151
MuQ,distant_random_sim_mean,197,-0.08791308018760569,0.21927942309768317,0.01379314219063896,0.8474499422322463,0.5423957377247367,0.9126383993270346
MuQ,chroma_excess,192,-0.10652912591817384,0.14138308865093188,-0.06771756008641741,0.35068233860101217,0.5423957377247367,0.6888625030090151
MuQ,repeat_frac,198,-0.06616365642441807,0.354380637167791,0.04389714396669702,0.539167249777964,0.5512587689276749,0.6888625030090151
