space,metric,low_n,high_n,low_mean,high_mean,high_minus_low,mw_p,mw_p_fdr
MIR,max_persistence,67,67,1.6954146659196312,1.5876257045945126,-0.10778896132511862,0.2936366741491596,0.498338360204255
MIR,n_loop_vertices,67,67,180.46268656716418,186.44776119402985,5.985074626865668,0.9432374826940464,0.9432374826940464
MIR,loop_span_sec,67,67,74.3044776119403,76.98388059701492,2.679402985074617,0.35076968436494316,0.498338360204255
MIR,distant_loop_sim_mean,65,66,0.8828104048688656,0.8719490539195559,-0.010861350949309734,0.535814582204089,0.5770310885274804
MIR,distant_random_sim_mean,66,67,0.8216842477715844,0.8421605098924345,0.020476262120850075,0.36214376651581603,0.498338360204255
MIR,chroma_excess,64,66,0.06091111122510925,0.030842780033029926,-0.03006833119207932,0.07718051847171939,0.498338360204255
MIR,repeat_frac,67,67,0.4984687813547654,0.5371562598515673,0.03868747849680193,0.29774684968747045,0.498338360204255
MuQ,max_persistence,67,67,0.347686112816654,0.3561065410500142,0.0084204282333602,0.23654203877748803,0.498338360204255
MuQ,n_loop_vertices,67,67,62.92537313432836,68.70149253731343,5.776119402985067,0.3498912440657985,0.498338360204255
MuQ,loop_span_sec,67,67,69.03164179104478,71.03044776119404,1.998805970149263,0.39156796862652354,0.498338360204255
MuQ,distant_loop_sim_mean,65,66,0.868661090015171,0.8606648465484948,-0.007996243466676156,0.4271471658893614,0.498338360204255
MuQ,distant_random_sim_mean,66,67,0.8221190514549814,0.8420311986366913,0.01991214718170986,0.39377835007929085,0.498338360204255
MuQ,chroma_excess,64,66,0.04823133321081765,0.017680690201196773,-0.030550643009620876,0.031255406792212205,0.4375756950909709
MuQ,repeat_frac,67,67,0.4984687813547654,0.5371562598515673,0.03868747849680193,0.29774684968747045,0.498338360204255
