family,test,scope,p_raw,p_fdr,significant_fdr,significant_raw
controls_shuffle,wilcoxon_shuffle_gt_within,mert,0.0,0.0,True,True
controls_persistence,wilcoxon_maxpers_real_vs_random,mert,2.0471162880343157e-147,2.7294883840457545e-147,True,True
controls_persistence,wilcoxon_maxpers_real_vs_shuffle,mert,4.841510660061755e-165,1.2988534531205466e-164,True,True
controls_shuffle,wilcoxon_shuffle_gt_within,muq,0.0,0.0,True,True
controls_persistence,wilcoxon_maxpers_real_vs_random,muq,7.730869296508756e-156,1.236939087441401e-155,True,True
controls_persistence,wilcoxon_maxpers_real_vs_shuffle,muq,4.841510660061755e-165,1.2988534531205466e-164,True,True
controls_shuffle,wilcoxon_shuffle_gt_within,encodec,0.0,0.0,True,True
controls_persistence,wilcoxon_maxpers_real_vs_random,encodec,1.4647579226386392e-133,1.6740090544441592e-133,True,True
controls_persistence,wilcoxon_maxpers_real_vs_shuffle,encodec,1.979607227476678e-164,3.959214454953356e-164,True,True
controls_shuffle,wilcoxon_shuffle_gt_within,mir,0.0,0.0,True,True
controls_persistence,wilcoxon_maxpers_real_vs_random,mir,5.617967090687014e-105,5.617967090687014e-105,True,True
controls_persistence,wilcoxon_maxpers_real_vs_shuffle,mir,4.87070044920205e-165,1.2988534531205466e-164,True,True
mantel,mantel_permutation,mert_vs_muq,0.0001,0.00015000000000000001,True,True
mantel,mantel_permutation,mert_vs_encodec,0.7553,0.7553,False,False
mantel,mantel_permutation,muq_vs_encodec,0.0001,0.00015000000000000001,True,True
chroma_loop_cycle,p_dio_cy,pop_01_BIRDS_OF_A_FEATHER_Billie_Eilish,1.0,1.0,False,False
chroma_loop_deprecated,p_ripser_co,pop_01_BIRDS_OF_A_FEATHER_Billie_Eilish,1.0,1.0,False,False
chroma_loop_deprecated,p_dio_co,pop_01_BIRDS_OF_A_FEATHER_Billie_Eilish,1.0,1.0,False,False
chroma_loop_deprecated,prev_p,pop_01_BIRDS_OF_A_FEATHER_Billie_Eilish,6.177050541703713e-109,2.1812709725391238e-107,True,True
chroma_loop_cycle,p_dio_cy,pop_02_Die_With_A_Smile_Lady_Gaga,1.0,1.0,False,False
chroma_loop_deprecated,p_ripser_co,pop_02_Die_With_A_Smile_Lady_Gaga,1.0,1.0,False,False
chroma_loop_deprecated,p_dio_co,pop_02_Die_With_A_Smile_Lady_Gaga,1.0,1.0,False,False
chroma_loop_deprecated,prev_p,pop_02_Die_With_A_Smile_Lady_Gaga,0.4963272536368223,0.7768002723124782,False,False
chroma_loop_cycle,p_dio_cy,pop_03_WILDFLOWER_Billie_Eilish,1.0,1.0,False,False
chroma_loop_deprecated,p_ripser_co,pop_03_WILDFLOWER_Billie_Eilish,1.0,1.0,False,False
chroma_loop_deprecated,p_dio_co,pop_03_WILDFLOWER_Billie_Eilish,1.0,1.0,False,False
chroma_loop_deprecated,prev_p,pop_03_WILDFLOWER_Billie_Eilish,0.1115881880001709,0.21891432715311304,False,False
chroma_loop_cycle,p_dio_cy,pop_04_Good_Luck__Babe__Chappell_Roan,0.1584207896051974,0.3612311491313167,False,False
chroma_loop_deprecated,p_ripser_co,pop_04_Good_Luck__Babe__Chappell_Roan,0.5422288855572214,0.8370473233328691,False,False
chroma_loop_deprecated,p_dio_co,pop_04_Good_Luck__Babe__Chappell_Roan,0.5422288855572214,0.8370473233328691,False,False
chroma_loop_deprecated,prev_p,pop_04_Good_Luck__Babe__Chappell_Roan,0.9999999663764568,1.0,False,False
chroma_loop_cycle,p_dio_cy,pop_05_One_Of_The_Girls__with_JENNIE__Lily_Rose_Depp__The_Weeknd,0.1054472763618191,0.2811927369648509,False,False
chroma_loop_deprecated,p_ripser_co,pop_05_One_Of_The_Girls__with_JENNIE__Lily_Rose_Depp__The_Weeknd,0.0004997501249375,0.0015506939698587215,True,True
chroma_loop_deprecated,p_dio_co,pop_05_One_Of_The_Girls__with_JENNIE__Lily_Rose_Depp__The_Weeknd,0.0004997501249375,0.0015506939698587215,True,True
chroma_loop_deprecated,prev_p,pop_05_One_Of_The_Girls__with_JENNIE__Lily_Rose_Depp__The_Weeknd,0.5106285262274171,0.7969754622057752,False,False
chroma_loop_cycle,p_dio_cy,pop_06_No_One_Noticed_The_Marías,0.1434282858570714,0.3510143662346042,False,False
chroma_loop_deprecated,p_ripser_co,pop_06_No_One_Noticed_The_Marías,0.0004997501249375,0.0015506939698587215,True,True
chroma_loop_deprecated,p_dio_co,pop_06_No_One_Noticed_The_Marías,0.0004997501249375,0.0015506939698587215,True,True
chroma_loop_deprecated,prev_p,pop_06_No_One_Noticed_The_Marías,0.9866144850907342,1.0,False,False
chroma_loop_cycle,p_dio_cy,pop_07_Beautiful_Things_Benson_Boone,0.487256371814093,0.8313011635775034,False,False
chroma_loop_deprecated,p_ripser_co,pop_07_Beautiful_Things_Benson_Boone,1.0,1.0,False,False
chroma_loop_deprecated,p_dio_co,pop_07_Beautiful_Things_Benson_Boone,0.9985007496251874,1.0,False,False
chroma_loop_deprecated,prev_p,pop_07_Beautiful_Things_Benson_Boone,2.240047313734077e-40,4.0826668782572693e-39,True,True
chroma_loop_cycle,p_dio_cy,pop_08_Iris_The_Goo_Goo_Dolls,0.0004997501249375,0.0030015007503750002,True,True
chroma_loop_deprecated,p_ripser_co,pop_08_Iris_The_Goo_Goo_Dolls,0.0004997501249375,0.0015506939698587215,True,True
chroma_loop_deprecated,p_dio_co,pop_08_Iris_The_Goo_Goo_Dolls,0.0004997501249375,0.0015506939698587215,True,True
chroma_loop_deprecated,prev_p,pop_08_Iris_The_Goo_Goo_Dolls,0.0199974468616816,0.04747293057500043,True,True
chroma_loop_cycle,p_dio_cy,pop_09_Sailor_Song_Gigi_Perez,0.2713643178410794,0.5196609615984088,False,False
chroma_loop_deprecated,p_ripser_co,pop_09_Sailor_Song_Gigi_Perez,0.0004997501249375,0.0015506939698587215,True,True
chroma_loop_deprecated,p_dio_co,pop_09_Sailor_Song_Gigi_Perez,0.0004997501249375,0.0015506939698587215,True,True
chroma_loop_cycle,p_dio_cy,pop_10_Sweater_Weather_The_Neighbourhood,0.0004997501249375,0.0030015007503750002,True,True
chroma_loop_deprecated,p_ripser_co,pop_10_Sweater_Weather_The_Neighbourhood,0.3663168415792104,0.5981763453533349,False,False
chroma_loop_deprecated,p_dio_co,pop_10_Sweater_Weather_The_Neighbourhood,0.3663168415792104,0.5981763453533349,False,False
chroma_loop_deprecated,prev_p,pop_10_Sweater_Weather_The_Neighbourhood,3.533498627334529e-143,1.53571286495693e-141,True,True
chroma_loop_cycle,p_dio_cy,pop_11_Yellow_Coldplay,0.0074962518740629,0.028785607196401535,True,True
chroma_loop_deprecated,p_ripser_co,pop_11_Yellow_Coldplay,1.0,1.0,False,False
chroma_loop_deprecated,p_dio_co,pop_11_Yellow_Coldplay,1.0,1.0,False,False
chroma_loop_deprecated,prev_p,pop_11_Yellow_Coldplay,0.1024260338404788,0.20449013823275802,False,False
chroma_loop_cycle,p_dio_cy,pop_12_party_4_u_Charli_xcx,0.0004997501249375,0.0030015007503750002,True,True
chroma_loop_deprecated,p_ripser_co,pop_12_party_4_u_Charli_xcx,0.0004997501249375,0.0015506939698587215,True,True
chroma_loop_deprecated,p_dio_co,pop_12_party_4_u_Charli_xcx,0.0004997501249375,0.0015506939698587215,True,True
chroma_loop_deprecated,p_ripser_co,pop_13_Taste_Sabrina_Carpenter,0.9975012493753124,1.0,False,False
chroma_loop_deprecated,p_dio_co,pop_13_Taste_Sabrina_Carpenter,0.9975012493753124,1.0,False,False
chroma_loop_deprecated,prev_p,pop_13_Taste_Sabrina_Carpenter,0.0039108432721596,0.01067452390710229,True,True
chroma_loop_cycle,p_dio_cy,pop_14_Stargazing_Myles_Smith,0.9025487256371814,1.0,False,False
chroma_loop_deprecated,p_ripser_co,pop_14_Stargazing_Myles_Smith,0.1749125437281359,0.32508416844209465,False,False
chroma_loop_deprecated,p_dio_co,pop_14_Stargazing_Myles_Smith,0.1324337831084457,0.2536443642585485,False,False
chroma_loop_deprecated,prev_p,pop_14_Stargazing_Myles_Smith,0.8020010944875988,1.0,False,False
chroma_loop_cycle,p_dio_cy,pop_15_Apocalypse_Cigarettes_After_Sex,0.0019990004997501,0.009595202398800481,True,True
chroma_loop_deprecated,p_ripser_co,pop_15_Apocalypse_Cigarettes_After_Sex,0.0109945027486256,0.026891316246638375,True,True
chroma_loop_deprecated,p_dio_co,pop_15_Apocalypse_Cigarettes_After_Sex,0.0109945027486256,0.026891316246638375,True,True
chroma_loop_deprecated,prev_p,pop_15_Apocalypse_Cigarettes_After_Sex,0.8758342402610798,1.0,False,False
chroma_loop_cycle,p_dio_cy,pop_16_CHIHIRO_Billie_Eilish,0.0004997501249375,0.0030015007503750002,True,True
chroma_loop_deprecated,p_ripser_co,pop_16_CHIHIRO_Billie_Eilish,0.0004997501249375,0.0015506939698587215,True,True
chroma_loop_deprecated,p_dio_co,pop_16_CHIHIRO_Billie_Eilish,0.0004997501249375,0.0015506939698587215,True,True
chroma_loop_deprecated,prev_p,pop_16_CHIHIRO_Billie_Eilish,1.961004156722393e-27,2.9157035488109265e-26,True,True
chroma_loop_cycle,p_dio_cy,pop_17_Espresso_Sabrina_Carpenter,0.1555777888944472,0.3612311491313167,False,False
chroma_loop_deprecated,p_dio_co,pop_17_Espresso_Sabrina_Carpenter,0.3098945253641386,0.5180189551205275,False,False
chroma_loop_deprecated,prev_p,pop_17_Espresso_Sabrina_Carpenter,0.0320619200254286,0.07245993925746863,False,True
chroma_loop_cycle,p_dio_cy,pop_18_End_of_Beginning_Djo,0.9320339830084956,1.0,False,False
chroma_loop_deprecated,p_ripser_co,pop_18_End_of_Beginning_Djo,0.0004997501249375,0.0015506939698587215,True,True
chroma_loop_deprecated,p_dio_co,pop_18_End_of_Beginning_Djo,0.0004997501249375,0.0015506939698587215,True,True
chroma_loop_deprecated,prev_p,pop_18_End_of_Beginning_Djo,0.9999999999958584,1.0,False,False
chroma_loop_deprecated,p_ripser_co,pop_19_Cruel_Summer_Taylor_Swift,0.1014492753623188,0.20325829992805008,False,False
chroma_loop_deprecated,p_dio_co,pop_19_Cruel_Summer_Taylor_Swift,0.1264367816091954,0.24381154132831193,False,False
chroma_loop_deprecated,prev_p,pop_19_Cruel_Summer_Taylor_Swift,2.5265450426353584e-45,5.098206961032062e-44,True,True
chroma_loop_cycle,p_dio_cy,pop_20_Messy_Lola_Young,1.0,1.0,False,False
chroma_loop_deprecated,p_ripser_co,pop_20_Messy_Lola_Young,1.0,1.0,False,False
chroma_loop_deprecated,p_dio_co,pop_20_Messy_Lola_Young,1.0,1.0,False,False
chroma_loop_deprecated,prev_p,pop_20_Messy_Lola_Young,0.2818189144391071,0.47816122119548204,False,False
chroma_loop_cycle,p_dio_cy,pop_21_Blinding_Lights_The_Weeknd,0.7131434282858571,1.0,False,False
chroma_loop_deprecated,p_ripser_co,pop_21_Blinding_Lights_The_Weeknd,0.9995002498750624,1.0,False,False
chroma_loop_deprecated,p_dio_co,pop_21_Blinding_Lights_The_Weeknd,0.9995002498750624,1.0,False,False
chroma_loop_deprecated,prev_p,pop_21_Blinding_Lights_The_Weeknd,0.029951631425378,0.06837999915281398,False,True
chroma_loop_cycle,p_dio_cy,pop_22_Starboy_The_Weeknd,1.0,1.0,False,False
chroma_loop_deprecated,p_ripser_co,pop_22_Starboy_The_Weeknd,1.0,1.0,False,False
chroma_loop_deprecated,p_dio_co,pop_22_Starboy_The_Weeknd,1.0,1.0,False,False
